"PWS ID","PWS Name","Primacy Agency","Owner Type","Primary Source","Population Served Count","Address Line1","Address Line2","City Name","State Code","Zip Code","First Reported Date","Last Reported Date"
"IA8590041","ZEARING WATER DEPARTMENT","Iowa","Local government","Ground water purchased","604","ATTN WATER SUPERINTENDENT KYLE CHITTY","203 S CENTER ST PO BOX 235","ZEARING","IA","50278","27-FEB-1979","29-JUN-2018"
"TX0030030","CITY OF ZAVALLA","Texas","Local government","Groundwater under influence of surface water","710","838 E MAIN ST","-","ZAVALLA","TX","75980-9265","14-MAR-1980","18-JUN-2018"
"TX2530002","ZAPATA COUNTY WATERWORKS SWTP","Texas","Local government","Surface water","12,060","200 E 7TH AVE STE 115","-","ZAPATA","TX","78076-2944","14-MAR-1980","18-JUN-2018"
"TX2530004","SIESTA SHORES WCID","Texas","Local government","Surface water","1,680","PO BOX 321","-","ZAPATA","TX","78076-0321","14-MAR-1980","18-JUN-2018"
"TX2530003","ZAPATA COUNTY SAN YGNACIO & RAMIRENO","Texas","Local government","Surface water","950","200 E 7TH AVE STE 115","-","ZAPATA","TX","78076-2944","14-MAR-1980","18-JUN-2018"
"OH6002712","ZANESVILLE PWS","Ohio","Private","Ground water","29,381","401 MARKET ST","-","ZANESVILLE","OH","43701","30-JAN-1981","26-JUN-2018"
"OH6000412","MUSKINGUM COUNTY WATER - SE","Ohio","Private","Ground water","18,451","375 RICHARDS RD","-","ZANESVILLE","OH","43702-2005","30-JAN-1981","26-JUN-2018"
"LA1033030","ZACHARY WATER SYSTEM","Louisiana","Local government","Ground water","22,728","CITY OF ZACHARY","P.O. BOX 310","ZACHARY","LA","70791","06-MAR-1980","13-JUN-2018"
"WA5359591","NISQUALLY PINES COMMUNITY CLUB","Washington","Private","Ground water","2,035","20041 OToole Rd SE","-","Yelm","WA","98597-9046","07-FEB-1981","22-JUN-2018"
"WA5399350","YELM CITY OF","Washington","Local government","Ground water","11,332","City of Yelm","901 Rhoton Road","Yelm","WA","98597","07-FEB-1981","22-JUN-2018"
"WA5313615","CLEARWOOD","Washington","Private","Ground water","2,848","21603 N. Clearlake Blvd SE","-","Yelm","WA","98597","07-FEB-1981","22-JUN-2018"
"WA5376530","SCENIC SHORES WATER COMPANY","Washington","Private","Ground water","711","PO BOX 1775","-","Yelm","WA","98597","07-FEB-1981","22-JUN-2018"
"WA5399150","YAKIMA WATER DIVISION CITY OF","Washington","Local government","Surface water","72,624","2301 Fruitvale Blvd","-","Yakima","WA","98902-1225","07-FEB-1981","22-JUN-2018"
"WA5306029","YAK CO - TERRACE HEIGHTS","Washington","Local government","Ground water","6,667","Yakima Co Public Services Dept","128 N 2nd ST - 4th Floor Courthouse","Yakima","WA","98901","29-OCT-1981","22-JUN-2018"
"WA5359700","NOB HILL WATER ASSOCIATION","Washington","Private","Ground water","29,685","6111 Tieton Dr","-","Yakima","WA","98908","07-FEB-1981","22-JUN-2018"
"NE3115515","YUTAN, CITY OF","Nebraska","Local government","Ground water","1,174","112 VINE ST","PO BOX 215","YUTAN","NE","68073-0215","04-APR-1979","29-JUN-2018"
"AZ0414024","YUMA CITY OF","Arizona","Local government","Surface water","103,264","-","155 W 14TH ST","YUMA","AZ","85364","05-OCT-1979","07-JUN-2018"
"CO0163020","YUMA CITY OF","Colorado","Local government","Ground water","4,049","910 S MAIN ST","-","YUMA","CO","80759","20-MAR-1979","15-MAY-2018"
"AZ0414082","USMC YUMA MAIN SYSTEM","Arizona","Federal government","Surface water","6,324","-","PO BOX 99100","YUMA","AZ","85369","22-JAN-1982","07-JUN-2018"
"AZ0414004","FAR WEST WATER & SEWER INC","Arizona","Private","Surface water","32,425","-","13157 E 44TH ST","YUMA","AZ","85367","05-OCT-1979","07-JUN-2018"
"AZ0414403","US ARMY YPG MAIN ADMINISTRATIVE AREA","Arizona","Federal government","Ground water","1,500","BLDG 307","IMYM-PWE 301 C STR","YUMA","AZ","85365","05-OCT-1979","07-JUN-2018"
"OK2000910","YUKON","Oklahoma","Local government","Ground water","22,498","Gary Giddings","P.O. Box 850500","YUKON","OK","73085","11-MAR-1980","28-JUN-2018"
"CA3610009","BIGHORN - DESERT VIEW WATER AGENCY","California","Local government","Ground water","3,060","622 S. Jemez Trail","-","YUCCA VALLEY","CA","92284","31-MAR-1980","17-MAY-2018"
"CA3610073","HI DESERT WD","California","Local government","Ground water","23,760","55439 29 PALMS HWY.","-","YUCCA VALLEY","CA","92284","22-MAR-1979","17-MAY-2018"
"CA3610060","BDVWA - GOAT MOUNTAIN ID","California","Local government","Ground water","908","622 S. Jemez Trail","-","YUCCA VALLEY","CA","92284","31-MAR-1980","17-MAY-2018"
"CA3610055","YUCAIPA VALLEY WATER DISTRICT","California","Local government","Surface water","44,700","P.O. BOX 730","-","YUCAIPA","CA","92399","22-MAR-1979","17-MAY-2018"
"CA3600391","HILLCREST MOBILE ESTATES","California","Private","Ground water","900","33600 CALIMESA BLVD","-","YUCAIPA","CA","92399","22-MAR-1979","17-MAY-2018"
"CA3610053","WESTERN HEIGHTS WATER COMPANY","California","Private","Surface water purchased","7,120","32352 Avenue D","-","YUCAIPA","CA","92399","22-MAR-1979","17-MAY-2018"
"CA5110002","CITY OF YUBA CITY","California","Local government","Surface water","73,202","701 Northgate Drive","-","YUBA CITY","CA","95991","22-MAR-1979","17-MAY-2018"
"CA4710011","YREKA, CITY OF","California","Local government","Surface water","7,290","856 N. MAIN STREET","-","YREKA","CA","96097","22-MAR-1979","17-MAY-2018"
"MI0006490","SUPERIOR TOWNSHIP","Michigan","Local government","Surface water purchased","8,500","575 East Clark Road","-","YPSILANTI","MI","48198","03-FEB-1981","26-JUN-2018"
"MI0007260","YPSILANTI COMMUNITY UTILITY AUTHORITY","Michigan","Local government","Surface water purchased","92,400","2777 State Road","-","YPSILANTI","MI","48198","03-FEB-1981","26-JUN-2018"
"CA2810007","TOWN OF YOUNTVILLE","California","Local government","Surface water purchased","3,953","6550 YOUNT STREET","-","YOUNTVILLE","CA","94599","22-MAR-1979","17-MAY-2018"
"AZ0412001","EPCOR WATER - TUBAC","Arizona","Private","Ground water","1,545","-","11201 WEST ALABAMA AVE","YOUNGTOWN","AZ","85363","05-OCT-1979","07-JUN-2018"
"AZ0407099","EPCOR WATER - SUN CITY","Arizona","Private","Ground water","38,016","-","11201 WEST ALABAMA AVE","YOUNGTOWN","AZ","85363","05-OCT-1979","07-JUN-2018"
"AZ0408032","EPCOR WATER - MOHAVE","Arizona","Private","Ground water","36,330","-","11201 WEST ALABAMA AVE","YOUNGTOWN","AZ","85363","05-OCT-1979","07-JUN-2018"
"AZ0407017","EPCOR WATER - CHAPARRAL CITY","Arizona","Private","Surface water","26,026","-","11201 WEST ALABAMA AVE","YOUNGTOWN","AZ","85363","05-OCT-1979","07-JUN-2018"
"AZ0407150","EPCOR WATER - SUN CITY WEST","Arizona","Private","Ground water","25,362","-","11201 WEST ALABAMA AVE","YOUNGTOWN","AZ","85363","05-OCT-1979","07-JUN-2018"
"AZ0407056","EPCOR WATER - PARADISE VALLEY/SCOTTSDALE","Arizona","Private","Ground water","11,600","-","11201 WEST ALABAMA AVE","YOUNGTOWN","AZ","85363","05-OCT-1979","07-JUN-2018"
"NC0235010","FRANKLINTON, TOWN OF","North Carolina","Local government","Surface water","2,467","1630 US Highway 1 North","-","YOUNGSVILLE","NC","27596","12-MAR-1980","28-JUN-2018"
"LA1055035","CITY OF YOUNGSVILLE WATER SYSTEM","Louisiana","Local government","Ground water","1,622","City of Youngsville Water System","P.O. BOX 592","YOUNGSVILLE","LA","70592","06-MAR-1980","13-JUN-2018"
"PA6620039","YOUNGSVILLE MUN WATERWORKS","Pennsylvania","Local government","Ground water","2,007","40 RAILROAD ST","-","YOUNGSVILLE","PA","16371","12-FEB-1979","28-JUN-2018"
"NY3116262","YOUNGSTOWN (V)","New York","Local government","Surface water purchased","2,021","PO Box 168","240 Lockport St.","YOUNGSTOWN","NY","14174","29-JAN-1981","20-JUN-2018"
"NY3100577","PORTER MASTER IMPROVEMENT AREA","New York","Local government","Surface water purchased","6,920","SUPERVISOR AND TOWN BOARD","TOWN HALL 3265 CREEK RD.","YOUNGSTOWN","NY","14174","29-JAN-1981","20-JUN-2018"
"OH5002303","YOUNGSTOWN CITY PWS","Ohio","Local government","Surface water purchased","148,000","26 S. PHELPS ST","PO BOX 6219","YOUNGSTOWN","OH","44501-6219","30-JAN-1981","26-JUN-2018"
"PA5650081","YOUNGSTOWN BORO MUNI AUTH","Pennsylvania","Local government","Surface water purchased","2,715","PO BOX 82","-","YOUNGSTOWN","PA","15696","12-FEB-1979","28-JUN-2018"
"GA2810001","YOUNG HARRIS","Georgia","Local government","Ground water","1,877","POB 122","-","YOUNG HARRIS","GA","30582-0122","12-MAR-1980","04-MAY-2018"
"GA2810007","TOWNS COUNTY","Georgia","Local government","Surface water purchased","9,991","P.O. Box 8","-","YOUNG HARRIS","GA","30582","12-MAR-1980","04-MAY-2018"
"CA2210515","YOSEMITE NPS - EL PORTAL","California","Federal government","Ground water","635","P.O. BOX 577","-","YOSEMITE NP","CA","95389","22-MAR-1979","17-MAY-2018"
"CA2210503","YOSEMITE NPS-YOSEMITE VALLEY","California","Federal government","Ground water","1,000","P.O. BOX 577","-","YOSEMITE NP","CA","95389","22-MAR-1979","17-MAY-2018"
"IL0930250","YORKVILLE","Illinois","Local government","Ground water","18,000","UNITED CITY OF YORKVILLE","800 GAME FARM ROAD","YORKVILLE","IL","60560","13-FEB-1981","13-JUN-2018"
"OH4103112","YORKVILLE VILLAGE PWS","Ohio","Local government","Ground water","1,150","139 MARKET STREET","PO BOX 588","YORKVILLE","OH","43971","30-JAN-1981","26-JUN-2018"
"NY5903469","YORKTOWN CONSOLD. WATER DIST.#1","New York","Local government","Surface water purchased","36,000","363 Underhill Avenue","-","YORKTOWN HEIGHTS","NY","10598","29-JAN-1981","20-JUN-2018"
"TX0620004","CITY OF YORKTOWN","Texas","Local government","Ground water","2,000","PO BOX 605","-","YORKTOWN","TX","78164-0605","14-MAR-1980","18-JUN-2018"
"VA3199500","YORKTOWN NAVAL WEAPONS STATION","Virginia","Federal government","Surface water purchased","2,100","160 Main Road, Building 16","-","YORKTOWN","VA","23691","10-FEB-1979","22-MAY-2018"
"VA3199210","CHEATHAM ANNEX","Virginia","Federal government","Surface water purchased","800","160 Main Road, Building 16","-","YORKTOWN","VA","23691","10-FEB-1979","22-MAY-2018"
"IN5218014","YORKTOWN WATER DEPARTMENT","Indiana","Local government","Ground water","6,200","9800 West Smith Street","-","YORKTOWN","IN","47396","21-JAN-1981","13-JUN-2018"
"NY0400884","TWIN LAKES MOBILE HOMES","New York","Private","Ground water","550","TWIN LAKES HOMES","PO BOX 659","YORKSHIRE","NY","14173","29-JAN-1981","20-JUN-2018"
"PA7010030","YORK SPRINGS MUNI WATER","Pennsylvania","Local government","Ground water","1,095","PO BOX 222","-","YORK SPRINGS","PA","17372","12-FEB-1979","28-JUN-2018"
"PA7670101","WEST MANCHESTER TWP AUTH","Pennsylvania","Local government","Ground water","9,960","2115 LOG CABIN ROAD","-","YORK","PA","17404","12-FEB-1979","28-JUN-2018"
"SC4610001","YORK CITY OF (4610001)","South Carolina","Local government","Surface water","7,258","PO BOX 500","-","YORK","SC","29745","10-FEB-1979","15-MAY-2018"
"AL0001223","YORK WATER SYSTEM/CITY OF YORK","Alabama","Local government","Ground water","7,143","-","P.O. BOX 37","YORK","AL","36925","05-MAR-1980","11-MAY-2018"
"PA7670100","YORK WATER CO","Pennsylvania","Private","Surface water","194,000","130 E MARKET ST","-","YORK","PA","17405","12-FEB-1979","28-JUN-2018"
"NY2501027","YORK WATER DISTRICT","New York","Local government","Surface water purchased","2,700","2680 Main Street","P. O. Box 127","YORK","NY","14592","29-JAN-1981","20-JUN-2018"
"ME0091680","YORK WATER DISTRICT","Maine","Local government","Surface water","13,195","86 WOODBRIDGE ROAD","-","YORK","ME","03909","08-MAR-1979","17-MAY-2018"
"NE3118706","YORK, CITY OF","Nebraska","Local government","Ground water","7,860","100 E 4TH ST","PO BOX 507","YORK","NE","68467-0507","04-APR-1979","29-JUN-2018"
"CA3010037","YORBA LINDA WATER DISTRICT","California","Local government","Surface water purchased","76,018","PO Box 309","-","YORBA LINDA","CA","92885","22-MAR-1979","17-MAY-2018"
"NY5903465","YONKERS CITY","New York","Local government","Surface water purchased","196,086","Department of Public Works - City Hall","40 South Broadway Suite 311","YONKERS","NY","10701","29-JAN-1981","20-JUN-2018"
"OR4100958","YONCALLA, CITY OF","Oregon","Local government","Surface water","1,095","PO BOX 508","2640 EAGLE VALLEY RD","YONCALLA","OR","97499","12-MAR-1979","05-JUN-2018"
"TX0620003","CITY OF YOAKUM","Texas","Local government","Ground water","5,815","PO BOX 738","-","YOAKUM","TX","77995-0738","14-MAR-1980","18-JUN-2018"
"NV0000255","YERINGTON CITY OF","Nevada","Local government","Ground water","5,050","102 S MAIN STREET","-","YERINGTON","NV","89447","24-MAR-1979","10-MAY-2018"
"AR0000356","YELLVILLE WATERWORKS","Arkansas","Local government","Surface water purchased","2,329","P O BOX 647","-","YELLVILLE","AR","72687","29-MAR-1979","18-JUN-2018"
"WY5680085","YELLOWSTONE NP-OLD FAITHFUL","Wyoming","Federal government","Surface water","6,225","PO Box 168","-","YELLOWSTONE NATIONAL PARK","WY","82190-0168","02-FEB-1981","20-JUN-2018"
"WY5680092","YNP-MAMMOTH HOT SPRINGS","Wyoming","Federal government","Surface water","2,600","PO Box 168","-","YELLOWSTONE NATIONAL PARK","WY","82190-0168","02-FEB-1981","20-JUN-2018"
"OH2903012","YELLOW SPRINGS VILLAGE PWS","Ohio","Local government","Ground water","3,761","100 DAYTON ST","-","YELLOW SPRINGS","OH","45387","30-JAN-1981","26-JUN-2018"
"MS0820014","CITY OF YAZOO CITY","Mississippi","Local government","Ground water","11,180","P O BOX 660","-","YAZOO CITY","MS","39194","28-FEB-1979","28-JUN-2018"
"MS0820009","LAKE CITY WATER ASSN-EAST","Mississippi","Public/Private","Ground water","958","2628 ERICKSON RD","-","YAZOO CITY","MS","39194","28-FEB-1979","28-JUN-2018"
"MS0820004","CENTRAL YAZOO #1 FLETCHERS CH.","Mississippi","Public/Private","Ground water","2,679","P O BOX 116","-","YAZOO CITY","MS","39194","28-FEB-1979","28-JUN-2018"
"MS0820015","LAKE CITY WATER ASSN-WEST","Mississippi","Public/Private","Ground water","943","2628 ERICKSON RD","-","YAZOO CITY","MS","39194","28-FEB-1979","28-JUN-2018"
"MS0820008","HILTON HEIGHTS WATER ASSN #1","Mississippi","Public/Private","Ground water","1,320","P O BOX 503","-","YAZOO CITY","MS","39194","28-FEB-1979","28-JUN-2018"
"GA2930002","YATESVILLE","Georgia","Local government","Ground water","520","P.O. Box 220","-","YATESVILLE","GA","31097-0220","12-MAR-1980","04-MAY-2018"
"IL0950700","YATES CITY","Illinois","Local government","Ground water","750","VILLAGE OF YATES CITY","113 W MAIN ST., BOX 145","YATES CITY","IL","61572","13-FEB-1981","13-JUN-2018"
"KS2020702","YATES CENTER, CITY OF","Kansas","Local government","Surface water","1,351","117 E RUTLEDGE ST","-","YATES CENTER","KS","66783","13-APR-1979","29-JUN-2018"
"AZ0413057","YARNELL WATER IMPROVEMENT ASSOCIATION","Arizona","Private","Ground water","643","-","PO BOX 727","YARNELL","AZ","85362-0727","05-OCT-1979","07-JUN-2018"
"ME0091670","YARMOUTH WATER DISTRICT","Maine","Local government","Ground water","7,760","PO BOX 419","-","YARMOUTH","ME","04096","08-MAR-1979","17-MAY-2018"
"PA1090074","PA AMERICAN WATER CO YARDLEY","Pennsylvania","Private","Surface water","34,411","1145 EDGEWOOD ROAD","-","YARDLEY","PA","19067","12-FEB-1979","28-JUN-2018"
"TX2500010","CITY OF YANTIS","Texas","Local government","Ground water","667","PO BOX 245","-","YANTIS","TX","75497-0245","14-MAR-1980","18-JUN-2018"
"SD4600423","YANKTON","South Dakota","Local government","Surface water","14,700","PO BOX 176","-","YANKTON","SD","57078","13-FEB-1979","30-APR-2018"
"NC0217010","YANCEYVILLE, TOWN OF","North Carolina","Local government","Surface water","2,716","1316 WEST MAIN STREET","-","YANCEYVILLE","NC","27379","12-MAR-1980","28-JUN-2018"
"TX1630021","YANCEY WSC","Texas","Local government","Ground water","8,103","PO BOX 127","-","YANCEY","TX","78886-0127","09-JAN-1982","18-JUN-2018"
"OR4100968","YAMHILL, CITY OF","Oregon","Local government","Surface water","1,070","PO BOX 9","-","YAMHILL","OR","97148","12-MAR-1979","05-JUN-2018"
"OK3006001","PAYNE CO RWD #4","Oklahoma","Local government","Surface water purchased","820","Ron Ritter","108 N. Main","YALE","OK","74085","11-MAR-1980","28-JUN-2018"
"MI0007230","YALE, CITY OF","Michigan","Local government","Ground water","1,900","111 West Mechanic Street","-","YALE","MI","48097","03-FEB-1981","26-JUN-2018"
"NC0299015","YADKINVILLE, TOWN OF","North Carolina","Local government","Surface water","4,178","PO BOX 816","-","YADKINVILLE","NC","27055","12-MAR-1980","28-JUN-2018"
"OR4100966","YACHATS, CITY OF","Oregon","Local government","Surface water","1,000","PO BOX 345","-","YACHATS","OR","97498","12-MAR-1979","05-JUN-2018"
"NM3532717","YAH TA HEY W & SD","New Mexico","Local government","Ground water","506","-","PO Box 4128","YA TA HEY","NM","87375","12-MAR-1980","21-JUN-2018"
"IL0250300","XENIA","Illinois","Local government","Surface water purchased","545","VILLAGE OF XENIA","601 Church St., P.O. Box 216","XENIA","IL","62899","13-FEB-1981","13-JUN-2018"
"OH2902812","XENIA CITY PWS","Ohio","Local government","Ground water","26,000","1831 US HWY 68 N","-","XENIA","OH","45385","30-JAN-1981","26-JUN-2018"
"OH2900803","GREENE COUNTY - DAY","Ohio","Private","Surface water purchased","895","667 DAYTON-XENIA RD","-","XENIA","OH","45385","30-JAN-1981","26-JUN-2018"
"OH2903512","GREENE CO.-NORTHWEST REG WATER","Ohio","Local government","Ground water","36,855","667 DAYTON-XENIA RD","-","XENIA","OH","45385","30-JAN-1981","26-JUN-2018"
"MI0006235","SPRING LAKE TOWNSHIP","Michigan","Local government","Surface water purchased","9,393","X","X","X","MI","55555","03-FEB-1981","26-JUN-2018"
"MN1130018","Wyoming","Minnesota","Local government","Ground water","3,850","26885 Forest Boulevard","P.O. Box 188","Wyoming","MN","55092-0188","24-JAN-1981","07-JUN-2018"
"MN1530011","Worthington","Minnesota","Local government","Ground water","13,288","Worthington Public Utilities","318 Ninth Street, Box 458","Worthington","MN","56187-0458","24-JAN-1981","07-JUN-2018"
"WI6560138","WOODVILLE WATERWORKS","Wisconsin","Local government","Ground water","1,318","102 Main St","PO BOX 205","Woodville","WI","54028","28-JAN-1981","14-JUN-2018"
"WA5398200","WOODLAND, CITY OF","Washington","Local government","Surface water","9,545","PO Box 9","-","Woodland","WA","98674","07-FEB-1981","22-JUN-2018"
"WA5341600","WOODINVILLE WATER DISTRICT","Washington","Local government","Surface water purchased","48,400","PO Box 1390","-","Woodinville","WA","98072","07-FEB-1981","22-JUN-2018"
"MN1820025","Woodbury","Minnesota","Local government","Ground water","69,245","Woodbury City Hall","8301 Valley Creek Road","Woodbury","MN","55125","24-JAN-1981","07-JUN-2018"
"WI7290137","WONEWOC WATERWORKS","Wisconsin","Local government","Ground water","834","PO BOX 37","-","Wonewoc","WI","53968-0037","28-JAN-1981","14-JUN-2018"
"WI7720171","BIRON WATER UTILITY","Wisconsin","Local government","Ground water","879","451 Kahoun Rd","-","Wisconsin Rapids","WI","54494-8252","28-JAN-1981","14-JUN-2018"
"WI7720108","WIS RAPIDS WATER WORKS & LIGHTING COMM","Wisconsin","Local government","Ground water","20,000","221 16th St S","P O Box 399","Wisconsin Rapids","WI","54495-0399","28-JAN-1981","14-JUN-2018"
"MN1720008","Winthrop","Minnesota","Local government","Ground water","1,399","P.O. Box Y","305 North Main Street","Winthrop","MN","55396","24-JAN-1981","07-JUN-2018"
"FL3590571","SEMINOLE COUNTY SOUTHEAST","Florida","Local government","Ground water","63,498","3304 Dike Rd.","-","Winter Park","FL","32792","10-FEB-1979","18-MAY-2018"
"FL3590473","SEMINOLE COUNTY NORTHEAST","Florida","Local government","Ground water","18,757","505 WEXDON CT./299 SILK BAYPL.","-","Winter Park","FL","32792-6244","10-FEB-1979","18-MAY-2018"
"FL3590039","APPLE VALLEY (CONSEC)","Florida","Local government","Ground water","3,232","3304 Dike Rd.","-","Winter Park","FL","32792","10-FEB-1979","18-MAY-2018"
"MN1430010","Winsted","Minnesota","Local government","Ground water","2,296","Winsted City Hall","P.O. Box 126","Winsted","MN","55395","24-JAN-1981","07-JUN-2018"
"MN1850013","Winona","Minnesota","Local government","Ground water","27,782","Winona City Hall","207 Lafayette Street","Winona","MN","55987","24-JAN-1981","07-JUN-2018"
"MN1850012","Goodview","Minnesota","Local government","Ground water","4,063","City Hall","4140 Fifth Street","Winona","MN","55987","24-JAN-1981","07-JUN-2018"
"MN1220011","Winnebago","Minnesota","Local government","Ground water","1,418","City Hall","P.O. Box 35","Winnebago","MN","56098-0035","24-JAN-1981","07-JUN-2018"
"MN1170006","Windom","Minnesota","Local government","Ground water","4,646","Windom City Hall","444 Ninth Street, Box 38","Windom","MN","56101-0038","24-JAN-1981","07-JUN-2018"
"WI6420306","WILTON WATERWORKS","Wisconsin","Local government","Ground water","503","Lori Brueggen","400 EAST ST, SUITE 103","Wilton","WI","54670","28-JAN-1981","14-JUN-2018"
"MN1340016","Willmar","Minnesota","Local government","Ground water","19,610","Willmar City Hall","333 Southwest Sixth Street","Willmar","MN","56201","24-JAN-1981","07-JUN-2018"
"WI2650060","WILLIAMS BAY WATERWORKS","Wisconsin","Local government","Ground water","2,601","PO Box 580","-","Williams Bay","WI","53191","28-JAN-1981","14-JUN-2018"
"MN1820022","Willernie","Minnesota","Local government","Ground water purchased","507","Willernie City Hall","111 Wildwood Road, Box 487","Willernie","MN","55090","24-JAN-1981","07-JUN-2018"
"WA5396950","WILKESON WATER DEPARTMENT","Washington","Local government","Ground water","712","PO Box 89","-","Wilkeson","WA","98396","07-FEB-1981","22-JUN-2018"
"WI2650056","WHITEWATER WATERWORKS","Wisconsin","Local government","Ground water","14,000","PO Box 178","-","Whitewater","WI","53190","28-JAN-1981","14-JUN-2018"
"WI6620275","WHITEHALL WATERWORKS","Wisconsin","Local government","Ground water","1,820","36295 MAIN ST","PO BOX 155","Whitehall","WI","54773","28-JAN-1981","14-JUN-2018"
"WA5396350","WHITE SALMON, CITY OF","Washington","Local government","Surface water","3,930","PO Box 2139","-","White Salmon","WA","98672-2139","07-FEB-1981","22-JUN-2018"
"MN1620025","White Bear Township","Minnesota","Local government","Ground water","13,680","White Bear Township Hall","1281 Hammond Rd","White Bear Lake","MN","55110","24-JAN-1981","07-JUN-2018"
"MN1620024","White Bear Lake","Minnesota","Local government","Ground water","25,634","White Bear Lake City Hall","4701 Highway 61","White Bear Lake","MN","55110-3277","24-JAN-1981","07-JUN-2018"
"MN1780004","Wheaton","Minnesota","Local government","Ground water","1,424","Wheaton City Hall","P.O. Box 868","Wheaton","MN","56296","24-JAN-1981","07-JUN-2018"
"WI7370163","WESTON MUNICIPAL UTILITIES","Wisconsin","Local government","Ground water","15,045","5500 Schofield Ave","P O BOX 438","Weston","WI","54476-0438","28-JAN-1981","14-JUN-2018"
"WI6630267","WESTBY WATERWORKS","Wisconsin","Local government","Ground water","2,228","200 N Main St","-","Westby","WI","54667-1398","28-JAN-1981","14-JUN-2018"
"MN1170005","Westbrook","Minnesota","Local government","Ground water","739","556 First Avenue","PO Box 308","Westbrook","MN","56183-0308","24-JAN-1981","07-JUN-2018"
"WA5394900","WEST RICHLAND, CITY OF","Washington","Local government","Surface water purchased","13,960","3801 W Van Giesen","-","West Richland","WA","99353","07-FEB-1981","22-JUN-2018"
"MN1200007","West Concord","Minnesota","Local government","Ground water","773","P.O. Box 435","-","West Concord","MN","55985","24-JAN-1981","07-JUN-2018"
"WI2410595","WEST ALLIS WATERWORKS","Wisconsin","Local government","Surface water purchased","63,240","7525 W GREENFIELD AVE","-","West Allis","WI","53214-4688","28-JAN-1981","14-JUN-2018"
"WA5312284","CHELAN CO PUD 1","Washington","Local government","Ground water purchased","14,189","Chelan County PUD","PO Box 1231","Wenatchee","WA","98807","07-FEB-1981","22-JUN-2018"
